form	lemma	POS	morph
ན་	ནས་	PART
རྣམ་རིག་	རྣམ་རིག་	OTHER
ཙམ་	ཙམ་	DET
བཀག་པ་	བཀག་པ་	VERB
ལ་ལུང་	ལ་ལུང་	NO_POS
དང་	དང་	NO_POS
འགལ་བ་	འགལ་བ་	VERB
འི་	གི་	PART
སྐྱོན་མེད་པ་	སྐྱོན་མེད་པ་	ADJ
ར་	ལ་	PART
ཐལ་	ཐལ་	VERB
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
ལོ་	གོ་	PART
ག་པ་	ག་པ་	PRON
བ་	བ་	ADP
བདག་	བདག་	PRON
སྲིད་	སྲིད་	NOUN
རྒྱུ་	རྒྱུ་	NOUN
མིན་	མིན་	AUX
ཞིང་	ཅིང་	PART
བདེན་འཛིན་	བདེན་འཛིན་	NO_POS
སྲིད་	སྲིད་	NOUN
རྒྱུ་	རྒྱུ་	NOUN
ར་	ལ་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
གྱི་	གི་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མ་	མ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
མདོ་	མདོ་	NOUN
དངོ་	དངོ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
ཚིག་དོན་	ཚིག་དོན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
གང་	གང་	NO_POS
གི་	གི་	PART
ན་	ནས་	PART
འགྱུར་	འགྱུར་	VERB
རོ་	རོ་	NOUN
སྙམ་	སྙམ་	VERB
མོ་	གོ་	PART
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
བ་	བ་	NOUN
ནི་	ནི་	NO_POS
ས་བཅུ་བ་	ས་བཅུ་བ་	NO_POS
འི་	གི་	PART
མདོ་	མདོ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ལ་	ལ་	PART
།		PUNCT
དེ་	སྟེ་	PART
འདི་	འདི་	DET
སྙམ་	སྙམ་	VERB
ན་	ནས་	PART
དག་	དག་	DET
གོ་	གོ་	VERB
འི་	གི་	PART
བ་	བ་	NOUN
ནི་	ནི་	NO_POS
མདོ་	མདོ་	NOUN
དངོ་	དངོ་	NOUN
སོ་	གོ་	PART
། །		PUNCT
ལུང་	ལུང་	NOUN
འདི་	འདི་	DET
འི་	གི་	PART
དོན་	དོན་	NOUN
ནི་	ནི་	NO_POS
ལོ་	གོ་	PART
ག་པ་	ག་པ་	PRON
བ་	བ་	ADP
ཤེས་རབ་	ཤེས་རབ་	NOUN
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
སྒོམ་	སྒོམ་	VERB
ཚུལ་	ཚུལ་	NOUN
གཉིས་	གཉིས་	NUM
ཀྱི་	གི་	PART
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
མཉམ་ཉིད་	མཉམ་ཉིད་	NOUN
བཅུ་	བཅུ་	NUM
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
འཇུག་	འཇུག་	VERB
ཚུལ་	ཚུལ་	NOUN
བཤད་	བཤད་	VERB
ན་	ནས་	PART
ཕྱི་མ་	ཕྱི་མ་	ADJ
ནི་	ནི་	NO_POS
སེམས་ཅན་	སེམས་ཅན་	NOUN
གྱི་	གི་	PART
འབྱུང་	འབྱུང་	VERB
འཇིག་	འཇིག་	VERB
ལ་	ལ་	PART
ལྟ་བ་	ལྟ་བ་	VERB
སྟེ་	སྟེ་	PART
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
ལུགས་འབྱུང་	ལུགས་འབྱུང་	NO_POS
ལུགས་ལྡོག་	ལུགས་ལྡོག་	NO_POS
ལ་	ལ་	PART
རྟོག་པ་	རྟོག་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
གྱི་	གི་	PART
ཕུང་པོ་	ཕུང་པོ་	NOUN
འདི་	འདི་	DET
འབྱུང་བ་	འབྱུང་བ་	VERB
ན་	ལ་	PART
བྱེད་པ་པོ་	བྱེད་པ་པོ་	NOUN
འི་	གི་	PART
བདག་མེད་	བདག་མེད་	ADJ
ཀྱི་	གི་	PART
བདག་	བདག་	PRON
ཏུ་	ལ་	PART
ཞེན་པ་	ཞེན་པ་	VERB
འི་	གི་	PART
སེམས་	སེམས་	NOUN
ཀྱིས་	གིས་	PART
བྱ་	བྱ་	VERB
སོ་	གོ་	PART
༑ ༑		PUNCT
དེས་ན་	དེས་ན་	NO_POS
ཐམས་ཅད་	ཐམས་ཅད་	DET
སེམས་	སེམས་	NOUN
ཀྱིས་	གིས་	PART
བྱ་	བྱ་	VERB
ཞེ་	ཅེས་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
དབྱིག་གཉེན་	དབྱིག་གཉེན་	PROPN
གྱིས་	གིས་	PART
མདོ་	མདོ་	NOUN
འདི་	འདི་	DET
ལ་	ལ་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
དང་	དང་	NO_POS
བརྒལ་བ་	བརྒལ་བ་	VERB
འི་	གི་	PART
ལན་	ལན་	NOUN
དང་	དང་	NO_POS
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
རྣམ་	རྣམ་	NOUN
		
		
བ་	པ་	PART
		
པ་	པ་	OTHER
ར་	ལ་	PART
གཞག་པ་	གཞག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དོན་དམ་པ་	དོན་དམ་པ་	NOUN
འི་	གི་	PART
བདེན་པ་	བདེན་པ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
གཞག་པ་	གཞག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཀུན་རྫོབ་	ཀུན་རྫོབ་	NOUN
ཀྱི་	གི་	PART
བདེན་པ་	བདེན་པ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
གཞག་པ་	གཞག་པ་	VERB
དང་	དང་	NO_POS
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
བསྡུ་	བསྡུ་	VERB
ན་	ནས་	PART
།		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
དུ་	ལ་	PART
འདོགས་པ་	འདོགས་པ་	VERB
འདི་	འདི་	DET
ཐམས་ཅད་	ཐམས་ཅད་	DET
བདག་	བདག་	PRON
ཏུ་	ལ་	PART
ཞེན་པ་	ཞེན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་	བྱུང་	VERB
